tool,warning description,type,subtype,type,subtype,type,subtype
Parasoft, Consider adding constructor for struct '_CMatchFinder' to initialize member variables: buffer, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct '_COptimal' to initialize member variables: price, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct '_CRangeEnc' to initialize member variables: range, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct '_CSeqInStreamBuf' to initialize member variables: data, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct '_CSeqOutStreamBuf' to initialize member variables: data, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct '_IMatchFinder' to initialize member variables: Init, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct 'be_dict' to initialize member variables: key, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct 'be_node' to initialize member variables: type, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct 'md5_state_s' to initialize member variables: count, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct 'test_utf8_entry' to initialize member variables: n, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct 'uShapeVariables' to initialize member variables: tailChar, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct 'yy_buffer_state' to initialize member variables: yy_input_file, Code Quality, General,,,,
Parasoft, Consider adding constructor for struct 'yy_trans_info' to initialize member variables: yy_verify, Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'IDAADJ_mem', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'buf', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'c', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'ca_mem', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'ctx', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'cvdlsB_mem', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'cvspilsB_mem', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'dt_mem', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'idadlsB_mem', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'idaspilsB_mem', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'in_buff', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'kinspils_mem', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'out_buff', Code Quality, General,,,,
Parasoft, Consider using allocation by declaration for variable 'strm', Code Quality, General,,,,
Parasoft, Constructor 'AudioDriver_NULL' does not explicitly call a constructor for immediate base classes: 'AudioDriverBase', Code Quality, General,,,,
Parasoft, Constructor 'FdInStream' does not explicitly call a constructor for immediate base classes: 'InStream', Code Quality, General,,,,
Parasoft, Constructor 'FdOutStream' does not explicitly call a constructor for immediate base classes: 'OutStream', Code Quality, General,,,,
Parasoft, Constructor 'FileInStream' does not explicitly call a constructor for immediate base classes: 'InStream', Code Quality, General,,,,
Parasoft, Constructor 'FullFramePixelBuffer' does not explicitly call a constructor for immediate base classes: 'ModifiablePixelBuffer', Code Quality, General,,,,
Parasoft, Constructor 'HexOutStream' does not explicitly call a constructor for immediate base classes: 'OutStream', Code Quality, General,,,,
Parasoft, Constructor 'Location' does not explicitly call a constructor for immediate base classes: 'EngineType', Code Quality, General,,,,
Parasoft, Constructor 'ManagedPixelBuffer' does not explicitly call a constructor for immediate base classes: 'FullFramePixelBuffer', Code Quality, General,,,,
Parasoft, Constructor 'ModifiablePixelBuffer' does not explicitly call a constructor for immediate base classes: 'PixelBuffer', Code Quality, General,,,,
Parasoft, Constructor 'MutexImpl' does not explicitly call a constructor for immediate base classes: 'NonCopyable', Code Quality, General,,,,
Parasoft, Constructor 'ObfuscatedPasswd' does not explicitly call a constructor for immediate base classes: 'CharArray', Code Quality, General,,,,
Parasoft, Constructor 'PlainPasswd' does not explicitly call a constructor for immediate base classes: 'CharArray', Code Quality, General,,,,
Parasoft, Constructor 'RenderedCursor' does not explicitly call a constructor for immediate base classes: 'PixelBuffer', Code Quality, General,,,,
Parasoft, Constructor 'ShapeObject' does not explicitly call a constructor for immediate base classes: 'Referenced', Code Quality, General,,,,
Parasoft, Constructor 'ThreadLocalImpl' does not explicitly call a constructor for immediate base classes: 'NonCopyable', Code Quality, General,,,,
Parasoft, Constructor 'ZlibInStream' does not explicitly call a constructor for immediate base classes: 'InStream', Code Quality, General,,,,
Parasoft, Constructor 'ZlibOutStream' does not explicitly call a constructor for immediate base classes: 'OutStream', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'Message_Block', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: '_fftState', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'addr', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'b', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'bits', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'caller, Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'closeWhenDone', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'cond, Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'cond', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'condition', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'data, Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'equal, Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'fInputLen, Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'fd', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'firstEdgeNumber', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'gapStarts, Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'inStrings, Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'mutex', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'ptr, Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'sectionStringTableSectionNumber', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'sem', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'stride', Code Quality, General,,,,
Parasoft, Constructor does not initialize members: 'value', Code Quality, General,,,,
Parasoft, Constructor invokes public/protected method: '=', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'Activate', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'Check', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'Reset', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'checkDataSize', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'height', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'init', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'length', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'offsetLeft', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'offsetTop', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'parseString', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'readNextEntry', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'set', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'update', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'updateState', Environment, General,,,,
Parasoft, Constructor invokes public/protected method: 'width', Environment, General,,,,
Parasoft, Copy constructor does not copy all data bases: 'shapeType', Code Quality, General,,,,
Parasoft, Copy constructor does not copy all data members: '_fftState, Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'Convert', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'CreateSuccessors', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'El_amd_post_tree', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'GetOptimum', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'GlueFreeBlocks', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'Ppmd7_DecodeSymbol', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'Ppmd7_EncodeSymbol', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'Previous_Enum', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'SplitBlock', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'T_CString_int64ToString_54', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'T_CString_int64ToString_58', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'T_CString_integerToString_54', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'T_CString_integerToString_58', Code Quality, General,,,,
Parasoft, Decrement expression was found in function '_shapeToArabicDigitsWithContext', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'adjustWSLevels', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'auxsort', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'bindigits', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'bracketProcessClosing', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'build_tree', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ch__clearmacro', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'cmaes_exit', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'construct_BWT', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'construct_SA', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'copy_and_encode', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'cs_dfs', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'cs_ereach', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'cs_qr', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'cs_scc', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ddE3', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ddE5', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'decode_buffer', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'decode_mcu_AC_refine', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'doWriteReverse', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'edA8', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'edAA', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'encode_in_place', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'fdE3', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'fdE5', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'findHighStart', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'gen_bitlen', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'getPrimaryBefore', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'getShape', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'gk_gkmcoreDel', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'gk_graph_FindComponents', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'gk_mcoreDel', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'gumbo_vector_pop', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'heap_get_entry', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'hexdigits', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'history_load', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'hp_get_new_block', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'kwsysSystem__ParseUnixCommand', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lastL_R_AL', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__Bnd2WayBalance', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__CreateCoarseGraph', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__CreateCoarseGraphNoMask', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__CreateCoarseGraphPerm', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__EliminateComponents', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__FM_2WayCutRefine', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__FM_2WayNodeBalance', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__FM_2WayNodeRefine1Sided', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__FM_2WayNodeRefine1SidedP', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__FM_2WayNodeRefine2Sided', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__FM_2WayNodeRefine2SidedP', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__FM_Mc2WayCutRefine', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__FindPartitionInducedComponents', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__General2WayBalance', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__Greedy_KWayCutOptimize', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__Greedy_McKWayCutOptimize', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__KWayVolUpdate', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__McGeneral2WayBalance', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__MoveGroupContigForCut', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libmetis__MoveGroupMinConnForCut', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libparmetis__KWayAdaptiveRefine', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libparmetis__KWayBalance', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libparmetis__KWayFM', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libparmetis__LabelSeparators', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libparmetis__Mc_SerialKWayAdaptRefine', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libparmetis__Mc_Serial_Balance2Way', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libparmetis__Mc_Serial_FM_2WayRefine', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libparmetis__Mc_Serial_Init2WayBalance', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'libparmetis__WavefrontDiffusion', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lr_int', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnop32', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnop3A', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopC4', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopC5', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopC7', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopCC', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopCD', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopCF', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopD4', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopD5', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopD7', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopDC', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopDF', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopE5', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopE7', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopEF', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopF5', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopF7', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lrnopFF', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'luaV_execute', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'lzh_make_huffman_table', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'mainSort', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'markRightEdgesFirst', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'moveToParent', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'moveToRoot', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'myrg_open', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'myrg_parent_open', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'next_CE', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprC4', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprC5', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprC7', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprCC', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprCD', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprCF', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprD4', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprD5', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprD7', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprDC', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprDF', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprE3', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprE4', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprE5', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprE7', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprEC', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprEF', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprF4', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprF5', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprF7', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprFC', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'nprFF', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'prepareReorder', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'processPropertySeq', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'queue_remove', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'radixsort_for_str_ptr', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'reconstruct_active_formatting_elements', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'removevars', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 's1231', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 's1710', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 's1711', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'saveSNA', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'sh6edgpoint', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'sort_typeBstar', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'sqlite3BtreeDelete', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'sqlite3GetTempReg', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'sqlite3TableAffinity', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'sqlite3VdbeSerialPut', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'sqlite3WhereCodeOneLoopStart', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ss_mintrosort', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ss_swapmerge', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'storeAttributeValue', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'storeAtts', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'sufcheck', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'tdefl_calculate_minimum_redundancy', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'tdefl_optimize_huffman_table', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'tr_introsort', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'u_strFromPunycode_58', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ubidi_getLogicalMap_54', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ubidi_getLogicalMap_58', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ubidi_getVisualMap_54', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ubidi_getVisualMap_58', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ucPopStack', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'ufmt_utop_58', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'utf8_prevCharSafeBody_54', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'utf8_prevCharSafeBody_58', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'utrie_open_54', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'utrie_open_58', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'xdl_change_compact', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'xdl_split', Code Quality, General,,,,
Parasoft, Decrement expression was found in function 'z80_int', Code Quality, General,,,,
Parasoft, Dereferenced pointer type expression should not be used, Code Quality, General,,,,
Parasoft, Destructor '~AutoMutex' should not call function 'unlock' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~CActiveObject' should not call function 'Deactivate' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~CScopeMutex' should not call function 'Unlock' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~Condition' should not call function 'SystemException' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~Condition' should not throw exceptions,API Abuse,Often Misused: Exception Handling,,,,
Parasoft, Destructor '~FieldPositionIteratorHandler' should not call function 'setData' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~MemoryStorageManager' should not call function '!=' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~MemoryStorageManager' should not call function '*' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~MemoryStorageManager' should not call function '++' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~MemoryStorageManager' should not call function 'begin' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~MemoryStorageManager' should not call function 'end' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~Mutex' should not call function 'SystemException' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~Mutex' should not throw exceptions,API Abuse,Often Misused: Exception Handling,,,,
Parasoft, Destructor '~PlainPasswd' should not call function 'replaceBuf' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~PointerPool' should not call function 'empty' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~PointerPool' should not call function 'pop' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~PointerPool' should not call function 'top' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~StringTrieBuilder' should not call function 'deleteCompactBuilder' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~TiXmlString' should not call function 'quit' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~UVector' should not call function 'removeAllElements' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~ZlibInStream' should not call function 'deinit' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_About' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_Assembler' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_copyq' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_debugger' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_gammaray' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_gvle' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_hicolor' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_icon' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_icons' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_images' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_itemfakevim' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_javascript' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_license' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_main' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_pics' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_pixmaps' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_resource' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_resources' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_sql' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_textfiles' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Destructor '~initializer' should not call function 'qCleanupResources_ui' that is not in try context, API Abuse, Often Misused: Exception Handling,,,,
Parasoft, Detected use of function that may cause race conditions: access, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: execle, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: execlp, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: execvp, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: fopen, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: freopen, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: link, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: lstat, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: open, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: opendir, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: pathconf, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: remove, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: rename, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: scandir, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: stat, Time and State, General,,,,
Parasoft, Detected use of function that may cause race conditions: unlink, Time and State, General,,,,
Parasoft, Different types of case labels are used in a switch statement, Code Quality, General,,,,
Parasoft, Disallowed character used in header file name: <modules/packet/filter//ConnectionFilter.h>, Code Quality, General,,,,
Parasoft, Do not apply pointer arithmetic to pointer: aCol, Code Quality, Undefined Behavior,,,,
Parasoft, Do not apply pointer arithmetic to pointer: aHash, Code Quality, Undefined Behavior,,,,
Parasoft, Do not apply pointer arithmetic to pointer: aPermute, Code Quality, Undefined Behavior,,,,
Parasoft, Do not apply pointer arithmetic to pointer: aPgno, Code Quality, Undefined Behavior,,,,
