repository,v1,total_bug1,rats1,flawfinder1,cppcheck1,clang1,pvs_studio1,parasoft1,v2,total_bug2,rats2,flawfinder2,cppcheck2,clang2,pvs_studio2,parasoft2
brezerk/q4wine,edf81923f1f834c11876b4982e8548faacdbd2bf,      73,      17,      49,       5,       0,       2,       0,828f8c4bbd9dc45e1f8d5ea70cf95a19a9715779,      75,      20,      45,       7,       0,       3,       0
brndnmtthws/conky,a58a6d4e081ca6ab241f20fcae80a6b6c31bf1c9,    2124,     433,    1481,      11,       0,     199,       0,0e1f4526b425401a4ef882b5b1f104384e1f3c15,    1860,     417,    1425,      18,       0,       0,       0
bro/bro,b527a9870da02e053e08803083f271b6f5eb28c1,    2923,     610,    1977,       5,       0,     224,     107,34ead91f992cbc40dcb81053343e2ef60a3aff61,    2635,     574,    1946,       8,       0,       0,     107
bro/pysubnettree,812f158ab98f3a46d50a0288fbd4d7692f9de651,      85,      12,      54,       1,       0,      18,       0,00cc7fa9a53410cff1369501eb3d4ae28ca4bc9d,      79,      11,      49,       1,       0,      18,       0
c42f/tinyformat,d563f7fbcdce8f72751d5455e44e995ed7ead949,       7,       0,       5,       0,       0,       2,       0,3a33bbf65442432277eee079e83d3e8fac51730c,       5,       0,       5,       0,       0,       0,       0
casadi/casadi,64b7712a548e929515ba68b271e60c42546742ef,    6314,     149,     650,      46,       0,     362,    5107,f023bea7221d67bc60f7211fbe8dc2bbdcb1b9da,    5533,      91,     314,      21,       0,       0,    5107
cern-it-sdc-id/davix,32c5f3cf934500a570703c8f6bfc06ede10ed4b8,    3247,     186,     487,       7,       0,      72,    2495,c40724b841bd58fa81af8dbf5768005e09727dd0,    3006,     140,     335,       3,       0,      33,    2495
chenshuo/muduo,44879bf25ff60187dcaa938a637d6ec50fd8531d,     486,      90,     301,       3,       0,      91,       1,8d8868e7a55cfa11c094a8efb9ee1884a9349d03,     254,      47,     139,       1,       0,      66,       1
christopho/solarus,cc30297016e6deb1fbcd0b49f07e6c2059645014,    1666,      14,      80,       0,       0,    1245,     327,903d97ddca870ca89532118e7ec7590b8f1dec3d,     949,     156,     243,       0,       0,     223,     327
cinemast/libjson-rpc-cpp,c2453c967b2059eeb77a387a0827c0cf87f816e0,      54,      21,      33,       0,       0,       0,       0,546d7083118fea9531342becd030069804b39a43,     166,      31,     128,       7,       0,       0,       0
clintbellanger/flare-engine,4fcdc4939a3544a5823b782dd90ae5b244a0eb10,     290,      41,     149,       0,       0,     100,       0,f2918d2ce7d8176c8a33445e8bb33dccab93f909,     291,      14,     204,       1,       0,      72,       0
cmangos/mangos-classic,806a7883c5827925450f89e0d280f6c967357c50,    3003,     827,    2157,      19,       0,       0,       0,343d5851ef8053d17c9d540f071744a86fd323d5,    4119,     848,    2190,      26,       0,    1055,       0
cmangos/mangos-wotlk,73cb0915ecfdd2694a0b7aa4bd9ba56e975638db,    3015,     837,    2161,      17,       0,       0,       0,5c72a7f8302399a9c041acacf377c08d89d77a8e,    5053,     861,    2227,      25,       0,    1940,       0
codelibre-net/schroot,039d559fc8ae83e9f383f00ea17e0b7f84051a44,     687,      35,     589,       0,       0,      63,       0,74c8f8c2ae2d0939ae4d458c0c459f8fb7c2f8d0,     832,      38,     721,       0,       0,      73,       0
codership/mysql-wsrep,c70c68b76772a2f96723fb3c6332b7f1a6e11a4a,   39864,    3315,    9576,      57,       2,     545,   26369,454661d78ee57078c9664c6441e15ed2c3b8db21,   39178,    3177,    8997,      57,       2,     576,   26369
coin-or/CppAD,40e2ccaaca4760f72dca0867aaaad97270186c5d,      43,       9,      27,       2,       5,       0,       0,6b1bcfe2985623f04cdc0eca3130b12d9ad8db6e,     306,       6,      23,       0,       2,     275,       0
colobot/colobot,92a8140b778675a769440dc206b11b8012734bff,     921,     121,     229,       0,       0,     552,      19,f67a62fb28c882b1650b827730bac72f404e2c47,     524,     524,       0,       0,       0,       0,       0
commontk/CTK,f96b5014aac1d76468f03a708446cd334a8aba84,     203,      19,     129,       6,       0,       0,      49,2ace7a3a58f1fe00fa47494c73966afce2d81ea0,     139,      15,      73,       2,       0,       0,      49
commontk/DCMTK,d8ed091cda2b815226eafe41f5b4fe3bd22f8d5d,   18572,    2611,    4081,      13,       6,    2386,    9475,ecf4c70f605b28b79e490dbd0fc7d0e203e5d5c8,   14174,    1205,    2171,      73,       2,    1248,    9475
cppformat/cppformat,c03f55ec3a0511611fa7f0537f858544a0ed03bd,      61,       6,      41,       0,       0,      14,       0,251e8774b010b0e21ac774bd3196aabcd2f3b2d2,      13,       1,      10,       0,       0,       2,       0
cpputest/cpputest,16ee2828a7bbfff1f43c259e3e75655bc76e980f,       0,       0,       0,       0,       0,       0,       0,126a87ac28ed6f175158803964212be727680625,       0,       0,       0,       0,       0,       0,       0
csete/gqrx,4a66a03fcdd5ef1d929825d67793b0111c81e79a,      93,      11,      30,       0,       0,      26,      26,4268098879c3f13a3f5646ad6f96cce22475965e,      92,      11,      30,       0,       0,      25,      26
danmar/cppcheck,7c0aa4464c3d23fd499985fdc5fb4b24f54ff7bf,     376,      99,     220,      10,       0,      47,       0,dd9cb929bf0acdd897c3c48d957e5eb24df1e2d3,     340,     101,     195,       9,       0,      35,       0
ddemidov/vexcl,9da8cb44da3cce1b3f1542fb4615069a208470ee,     381,       0,     235,       6,       0,     140,       0,6cf94a715c054e9214c59b51fa3861fd7eca5f9d,      31,       2,      11,       0,       0,      18,       0
dermesser/libsocket,5bbe6858b61c58b20d1e28a35f3135fb707e1570,     331,      36,      60,       0,       0,       6,     229,7052dd2803328b702c4b9b422b050a0af82f9be0,     320,      34,      52,       1,       0,       4,     229
deskvox/deskvox,96e52235b5397d800f15971594327bdd3d7eacc0,    1369,     391,     720,       2,       0,     256,       0,9dc865c914b037299da11901c5a793cb6ff824d7,    1371,     409,     676,       5,       0,     281,       0
dorkster/flare-engine-next,def388a7eecbfb2ac750e6b20507d5272d723dfc,     324,      41,     179,       1,       0,     103,       0,5c74d8c8a954c2ea367c69a8efc8a60ce69ec892,     341,      13,     244,       2,       0,      82,       0
dune-project/dune-common,45c3f0ac13fd5db5ece0b6bec9e50d7407d0d660,      49,       1,       1,       2,       1,      44,       0,1dceeb491a6ea08d191da279441e4da2a41db55b,      63,       1,       1,       0,       2,      59,       0
edubart/otclient,8c731ac016d95407eed6c2767945a97fbdd4fa83,     406,      78,     167,       8,       0,     153,       0,c01b32b03255989497ca5331de898804e6a39a1b,     258,      46,     105,       7,       0,     100,       0
elemental/Elemental,351bc9460dcc58be62e9b42902e49640a97c0b0e,   12900,      14,     179,      29,      19,    1089,   11570,f96177ebcc0ad2a6598579df0d9fcae1babe26f5,   11699,       2,      95,      27,       0,       5,   11570
esa/pagmo,60d8566e2e771975fc84712fb46866007f9b3400,     530,      16,     275,       0,       0,     239,       0,ea8777a49c9e8e6bff2e7ae9b7a45d419f223490,     382,      15,     223,       0,       0,     144,       0
etano/simpimc,943fb6e3ec399b1f7b9ea075a447806f4522a6fd,       3,       0,       1,       2,       0,       0,       0,e5d32c6fbf52c18c3992ffff1409dfd132ad5eec,     111,      19,      45,       7,       0,      40,       0
eteran/edb-debugger,c656659b881cf8693b3584b923a128dc3597b8fa,     414,      91,     266,       4,       0,      27,      26,76fe545b9390d41d2f5365cf785fcd455a67b5a5,     414,      91,     266,       4,       0,      27,      26
euroelessar/jreen,c04c229d2ead96db1af31e55c81d6ab00fb65a7b,     206,      48,     127,       2,       0,      29,       0,9cb0ae2f89024ec6261090da02a3f23ca4b392d3,     182,      48,     127,       2,       0,       5,       0
facebook/mysql-5.6,037c4910b360633160d97cc002c60576dea85393,   14472,    3839,   10561,      70,       2,       0,       0,45f59a05cc6bcf72aa9322f5802cee6a6f98c211,   14209,    3590,   10025,      62,       2,     530,       0
falkTX/los,6ad4052cfd0a552f387bb05028b51d9c6dde9610,     807,     218,     278,       8,       0,     303,       0,3d4b10e3fc4e435c6df0505a4bf58902fa78d227,     713,     299,     389,      11,       0,      14,       0
freeorion/freeorion,611758cf90e990070cafe728c61b689d399dd5f7,    5483,      51,     424,      12,       0,    4878,     118,d6a00202da402c425dfeb64854288543ab820dfc,     528,      38,     366,       6,       0,       0,     118
freundlich/fcppt,652b63c63e241376f535a470874adbcbd4e7f623,     332,       9,     221,       0,       0,      84,      18,6b8d0816c20b28ef52a568f6fb1f4f9f5e5078e2,     197,       8,      64,       0,       0,     107,      18
freundlich/mizuiro,e1a77ff94cf11f5d2515424a923886cb62cb02dc,     413,       0,     383,       0,       0,      30,       0,4f5fe1d02598404283d3783333cddda87dc7418e,     234,       0,     197,       0,       0,      37,       0
gemrb/gemrb,90cda6b99ac13abe63e3929245b8f034eddeb9b3,    2504,     431,    1337,      11,       0,     596,     129,a186784bde3c0507abd9752f59f4e6f92d57bf4d,    2643,     427,    1402,      14,       0,     671,     129
gflags/gflags,4a694e87361d08eff5c4c9e9f551b1a0d41f7c40,      52,       5,      40,       0,       0,       7,       0,f7e89ba9ea82ed2a79413b7c323bca79ac26c747,      45,       7,      32,       0,       0,       6,       0
gnuradio/gnuradio,ac5109d25a9d94386429dd9e806268d29c8e2aac,    1630,     321,    1053,      16,       0,     240,       0,fd52df0f706195d937e287189024f8aa6fbeaf60,    1268,     270,     735,      19,       4,     240,       0
google/glog,da816ea70645e463aa04f9564544939fa327d5a7,     144,      36,      93,       0,       0,      15,       0,95cde7af2f115daa2881b329864c6d2e276671f5,     144,      36,      93,       0,       0,      15,       0
highfidelity/hifi,e1a0984fed4be37a8582972587222a38ecebc7f7,    1598,     198,     483,       9,       0,     541,     367,ad0b2f024b0c4c8c38236d8888e7cd585e995d83,     631,      58,     147,       4,       0,      55,     367
hluk/CopyQ,652ea527c37902566da9bcb152af3d1753426d4e,     143,      10,      93,       0,       0,      14,      26,313d9245bb907d61b8e1b8530246d9033302e97b,      52,       2,      12,       1,       0,      11,      26
hpcc-systems/HPCC-Platform,f2e903ffa48a4468f3718d516e240bd288719708,   15892,    3560,    7563,     192,       0,    2205,    2372,a2eb7f9cb93700e77e38cbd31ed47af187229b5b,   15191,    3382,    6952,     318,       0,    2167,    2372
imageworks/OpenColorIO,6b744f2b4543d16f77b3fe19ae05b67c56a13673,     369,      49,     224,       5,       0,      16,      75,b7d58e7fbd0dea7924c6c73ab4fec8739b7ef63d,     362,      50,     216,       5,       0,      16,      75
jbeder/yaml-cpp,0fdb1b910c1a31db80b7521446166d06cad10813,      25,       4,       5,       0,       0,      16,       0,c335c8dd753c2b5f456a42e6dc33da16b7203713,      23,       4,       4,       0,       0,      15,       0
jktjkt/trojita,58690b61d1ee66b49b4be2b9c6b1460fc8278fa7,     205,      17,      80,       3,       0,      75,      30,964169993489856c7342a05369456fe9ede5478c,     162,      17,      90,       1,       0,      24,      30
juj/MathGeoLib,07680b7cfcca72c3f852dd248eb26e4ca3e26530,     396,      55,     105,       1,       0,      88,     147,662276c250314488cb2e76dbb65c32c6ed1684c3,     314,      27,      70,       0,       0,      70,     147
koreader/crengine,d0854294e0a9259d9c160b5fe9c91a123a63528b,    9641,     250,    2681,     122,       0,     333,    6255,82509784f8e1fdbf9998f2806ace69babff9e15c,    9859,    1046,    2108,     129,       0,     321,    6255
lalinsky/chromaprint,22daf0e01ce46145d916112094997c3003c298c8,      84,       6,      32,       2,       0,       7,      37,33307a55f21f3bebbcb901ae525d4f383b0a0181,      55,       1,      11,       1,       0,       5,      37
lballabio/QuantLib,e65dd7b6cbd54bc64f909259ab3311a8a5d006d6,     954,       3,      33,       0,       0,     918,       0,606024a75b34e9f8c45de395653717136468f4bd,      36,       3,      33,       0,       0,       0,       0
ledger/ledger,bc8136fa6fbb74febee99735c8bd603b1f12ddef,     306,      87,     112,      18,       3,      86,       0,63a14fd5e0aeb64a0508ddac71803acc926425c5,     356,      87,     156,      18,       3,      92,       0
leethomason/tinyxml2,395ea09f83cfa34d848cea25b8a64d7ae3858ada,      81,      34,      45,       1,       0,       1,       0,c510a8c76ed48177e08471403f92d78056a3af21,      55,      15,      34,       1,       0,       5,       0
lemire/FastPFor,bae51c0f8f7c50c179e10a84d0a3e137bbc062d7,     152,      25,      74,       2,       0,      51,       0,bf307bdfca05bca3fe02eaab00cbf734aafa3c2e,     106,      17,      54,       2,       0,      33,       0
libpinyin/libpinyin,2919d7d4b9facf175d4da33418dfbb9945f4bb15,     215,      22,     174,      19,       0,       0,       0,230ee9362a2908e982ff7ff1766d070249cac5ca,     182,      15,     117,       0,       0,      50,       0
libspatialindex/libspatialindex,4768bf3e9ce5ab80c639a6017f5c1e9d093ea515,    2459,      41,     442,       5,       0,      86,    1885,9a39ed4c01ce4f5f54e236d716f467a22aca6968,    2447,      39,     434,       5,       0,      84,    1885
lightspark/lightspark,308241eb55c5379765033e60f28dfdd956c7abcd,     874,     159,     370,       9,       0,     334,       2,18956fb0c94992f98f707af12b4b107ed4631d25,     489,     131,     226,       5,       0,     125,       2
litehtml/litehtml,d7cc6abfe1141770718404aaf9b17db80ed3f196,    1068,       4,      29,       0,       0,      37,     998,13cf9e27bd0a08ab67eb969c7ddf8ed92aa07db8,    1068,       4,      29,       0,       0,      37,     998
loot/loot,f1e4c4fe6a54688d6e83fb5043324bff8f9af4d0,     116,       5,       6,       0,       0,       0,     105,030e828e251d61ecfdac41db102673471859a290,     148,      16,      24,       3,       0,       0,     105
lotem/librime,7f41f6527ffedcfccc16f7e4b93a3048f33cf19e,     969,     275,     648,       7,       0,      27,      12,bb1f48a36a835bd31dd7cb64c4faf738c80cc75d,      74,       4,      43,       0,       0,      15,      12
lxde/pcmanfm-qt,1d38bbd24b4b51f52bbf8a7f1e9237f0ccd37766,      24,       5,      17,       1,       0,       1,       0,62990ca3954c0ab70d44d4381830b1d2d961c393,       0,       0,       0,       0,       0,       0,       0
mangosthree/server,3014c5b370139db835dba70e860841e322b17849,    1366,     435,     892,      39,       0,       0,       0,a4fe021054f1ae4779d4a1d44c2954871b72333b,    6320,    1668,    4222,     107,       0,     323,       0
marek629/SIR,49668de22b1954a3f97283f0068736fe8c483eee,     114,      15,      31,       1,       0,      59,       8,1d0333cc691c7b30020e64e4775811541edafb8c,      70,      12,      25,       1,       0,      24,       8
martinrunge/muroa,d3a9d5078fac3f8baa48cd899ce7810c5cc0e4a3,    1225,      63,     368,      12,       0,      76,     706,3fdb0f8529e8e34df6778782c36e2a87d54bcf94,    1044,      40,     175,      11,       0,     112,     706
mattgodbolt/seasocks,bc32e790376cb58fccb13d8a6499e60d729c172c,     942,      14,      37,       0,       0,       2,     889,636d1fd54b15abd8105f73be9f1590d8d7b3a564,     937,      12,      35,       0,       0,       1,     889
mavam/libbf,b6189bf6204d662294c9796f5f0e268251b5cebc,       5,       0,       0,       1,       0,       4,       0,aafb2f1ab750b1a0d652aedea684123a1fbb0504,       3,       0,       2,       1,       0,       0,       0
mempko/firestr,127c15179382ed9a032ffdda629750bb28f3aea0,     318,      76,     155,       2,       0,      85,       0,727b20eb6c16a8ee5e438abd7cc8c4b2b28f26ad,     265,      48,     128,       1,       0,      88,       0
meta-toolkit/meta,bfdb91019ca1c3ad998b10b244cc053ae3483fb2,   14199,     104,     567,      15,       0,      84,   13429,f8accc1b188fa7d2d2b6cc890abcf29bca61ffb6,   13904,      54,     370,      15,       0,      36,   13429
mfontanini/libtins,7607610cf97bf2923ddd64bcb17a44128e036862,     393,      92,     214,       0,       0,      35,      52,fb97b2b8f0182b2139881e41621eea15114f82d8,     351,      11,     252,       0,       0,      36,      52
mickem/nscp,f7a2c746ac423095fc2d5105ff7ba98a2721b8bf,    4285,     537,    1193,      25,       0,     143,    2387,9fdde883b0ac8028232a6bd89466070861d0a8d3,    4043,     487,    1110,      38,       0,      21,    2387
mlpack/mlpack,36470e9f6d3bf8d2f5e9202675c46b528881e4c1,      72,       7,      65,       0,       0,       0,       0,cd12d5a188663151a0f6a5f1db07a7cb4a2f377a,     160,       6,      86,       4,       0,      64,       0
mosra/corrade,29612cc341633fa26c4c74c55920cb21ed4dd0ed,     114,      35,      59,      10,       0,       7,       3,402305e9e3f15dcb04e6f698e55f26d163f1fde5,      50,       4,      38,       0,       0,       5,       3
ms705/firmament,091b99ba3a58aea5d0594e61291c10417bcdd234,     367,      54,     165,       2,       0,      60,      86,3a84f6c01ce87d5045c0675bebb01c5e903b4cb3,     371,      55,     168,       2,       0,      60,      86
msgpack/msgpack-c,99c4d37a399f5bb32234bfe2b18cbd826e8f77f6,    1003,      14,     229,       8,       0,      24,     728,dac5c60608212494b84e244f3fe55f5b2d6a8174,     894,      10,     135,       8,       0,      13,     728
msoos/cryptominisat,71e49ac7de4d3c104defa24556f92fbb8dded517,     261,      29,      65,       5,       0,     162,       0,82c91dbfc7f585e455da835c330017811ebc058f,     157,      17,      54,       3,       0,      83,       0
muflihun/easyloggingpp,4d4cb42848d19ed8de97f8ba2b71317210ca9246,      96,      48,      48,       0,       0,       0,       0,3bbd864c1fb06df23a75d64d9051060aadfeedcf,      85,      34,      51,       0,       0,       0,       0
musescore/MuseScore,b520dcaf3c88b06d2e418adbe187806c37a6aaf0,    3878,     949,    2247,      72,       0,     610,       0,3a836d7fd60ffbc608679d3d7f4a2851f87e2273,    2109,     646,    1286,       8,       0,     169,       0
nickbruun/hayai,6959ca187e845f7fef1f0aa4704cbe695a8e2e45,       6,       0,       6,       0,       0,       0,       0,c9d74ca1e78837c1d92a9dfa61138c60e286746a,       2,       1,       1,       0,       0,       0,       0
nyanp/tiny-cnn,b89239c024a6f4d6e79f9f4108c30d483120691b,     200,      22,     178,       0,       0,       0,       0,b0cd14e11bf9ede769bcdf0cfdafdc1414f317fa,      40,       0,      20,       0,       0,      20,       0
open-source-parsers/jsoncpp,264c3edca7aa4a924f30a44690269dbd6ab6cada,      71,       8,      53,       0,       0,      10,       0,a3f19c23a0f17ce3fb444e2d11d188e681119367,      26,       6,      13,       0,       0,       7,       0
openclonk/openclonk,3a2c68dcc98ba47ff38ffe9cc643ecf941efe7d3,    2369,     446,     847,     179,       0,     747,     150,416a65acde056d1612ae2ab65bbadd56c250a71f,    2239,     470,     854,      56,       0,     709,     150
opengm/opengm,3deaea58ba0cf9708c25cd03502e1cd9abec8875,      94,       3,      13,       3,       0,      75,       0,9b059056ab99ed58072b5a092a23f2e4c4908386,      75,       3,       4,       0,       0,      68,       0
openscenegraph/osg,2cefcc8bfc1cb5636633ca120f471cc37761be94,   11970,    2657,    3596,      28,       0,    1130,    4559,28a9a235b6cecba439838d9dd92099ebfc0c2d3a,   11570,    2417,    3282,      30,       0,    1282,    4559
opentrack/opentrack,4fa2108094cb137ec7b2a6b44a9c13b554b4c1f9,     134,      38,      94,       2,       0,       0,       0,e437f501a6b7a6a9ac90eec6d91ebf022aa09ff8,      93,      16,      54,       0,       0,      23,       0
