taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, examples/tagreader.cpp,35, fixed size local buffer, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/trueaudio/trueaudiofile.cpp,92, read, taglib/trueaudio/trueaudiofile.cpp,97, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/trueaudio/trueaudiofile.cpp,101, read, taglib/trueaudio/trueaudiofile.cpp,106, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/trueaudio/trueaudiofile.cpp,109, read, taglib/trueaudio/trueaudiofile.cpp,114, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/trueaudio/trueaudiofile.cpp,118, read, taglib/trueaudio/trueaudiofile.cpp,123, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/trueaudio/trueaudiofile.cpp,241, read, taglib/trueaudio/trueaudiofile.cpp,268, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/trueaudio/trueaudioproperties.cpp,73, read, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/trueaudio/trueaudioproperties.cpp,120, read, taglib/trueaudio/trueaudioproperties.cpp,125, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/wavpack/wavpackfile.cpp,89, read, taglib/wavpack/wavpackfile.cpp,95, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/wavpack/wavpackfile.cpp,96, read, taglib/wavpack/wavpackfile.cpp,103, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/wavpack/wavpackfile.cpp,231, read, taglib/wavpack/wavpackfile.cpp,247, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/wavpack/wavpackproperties.cpp,74, read, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/wavpack/wavpackproperties.cpp,82, read, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/wavpack/wavpackproperties.cpp,146, read, taglib/wavpack/wavpackproperties.cpp,163, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,77, read, taglib/xm/xmfile.cpp,78, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,92, read, taglib/xm/xmfile.cpp,93, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,128, read, taglib/xm/xmfile.cpp,129, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,155, read, taglib/xm/xmfile.cpp,156, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,189, read, taglib/xm/xmfile.cpp,190, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,210, read, taglib/xm/xmfile.cpp,211, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,329, read, taglib/xm/xmfile.cpp,330, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,334, read, taglib/xm/xmfile.cpp,335, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,362, read, taglib/xm/xmfile.cpp,364, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,370, read, taglib/xm/xmfile.cpp,373, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,431, read, taglib/xm/xmfile.cpp,435, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,500, read, taglib/xm/xmfile.cpp,496, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,540, read, taglib/xm/xmfile.cpp,536, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,567, read, taglib/xm/xmfile.cpp,563, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,590, read, taglib/xm/xmfile.cpp,586, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/xm/xmfile.cpp,625, read, taglib/xm/xmfile.cpp,621, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, examples/tagreader.cpp,35, (buffer) char, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, examples/tagreader.cpp,36, (buffer) sprintf, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, examples/tagwriter.cpp,42, (buffer) strlen, examples/tagwriter.cpp,44, (buffer) strlen, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings ,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/ape/apefile.cpp,116, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/ape/apefile.cpp,118, (race) access, taglib/ape/apefile.cpp,130, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/ape/apefile.cpp,125, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/ape/apefile.cpp,127, (race) access, taglib/ape/apefile.cpp,135, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/ape/apefile.cpp,133, (race) access, taglib/ape/apefile.cpp,141, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/ape/apefile.cpp,135, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/ape/apefile.cpp,137, (race) access, taglib/ape/apefile.cpp,143, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/ape/apefile.cpp,216, (race) access, taglib/ape/apefile.cpp,225, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/ape/apefile.cpp,221, (race) access, taglib/ape/apefile.cpp,230, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,147, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,149, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,151, (race) access, taglib/flac/flacfile.cpp,152, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,158, (race) access, taglib/flac/flacfile.cpp,157, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,160, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,162, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,168, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,170, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,172, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,174, (race) access, taglib/flac/flacfile.cpp,162, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,287, (race) access, taglib/flac/flacfile.cpp,317, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/flac/flacfile.cpp,292, (race) access, taglib/flac/flacfile.cpp,322, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpc/mpcfile.cpp,120, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpc/mpcfile.cpp,122, (race) access, taglib/mpc/mpcfile.cpp,123, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpc/mpcfile.cpp,129, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpc/mpcfile.cpp,131, (race) access, taglib/mpc/mpcfile.cpp,128, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpc/mpcfile.cpp,137, (race) access, taglib/mpc/mpcfile.cpp,134, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpc/mpcfile.cpp,139, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpc/mpcfile.cpp,141, (race) access, taglib/mpc/mpcfile.cpp,136, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpc/mpcfile.cpp,228, (race) access, taglib/mpc/mpcfile.cpp,233, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpc/mpcfile.cpp,233, (race) access, taglib/mpc/mpcfile.cpp,238, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,142, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,144, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,146, (race) access, taglib/mpeg/mpegfile.cpp,170, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,153, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,155, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,157, (race) access, taglib/mpeg/mpegfile.cpp,175, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,162, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,164, (race) access, taglib/mpeg/mpegfile.cpp,183, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,166, (race) access, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,168, (race) access, taglib/mpeg/mpegfile.cpp,185, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,277, (race) access, taglib/mpeg/mpegfile.cpp,308, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,295, (race) access, taglib/mpeg/mpegfile.cpp,325, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,300, (race) access, taglib/mpeg/mpegfile.cpp,330, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/mpeg/mpegfile.cpp,305, (race) access, taglib/mpeg/mpegfile.cpp,335, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/riff/wav/wavfile.cpp,96, (race) access, taglib/riff/wav/wavfile.cpp,108, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/riff/wav/wavfile.cpp,101, (race) access, taglib/riff/wav/wavfile.cpp,113, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/riff/wav/wavfile.cpp,139, (race) access, taglib/riff/wav/wavfile.cpp,168, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/riff/wav/wavfile.cpp,139, (race) access, taglib/riff/wav/wavfile.cpp,169, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/riff/wav/wavfile.cpp,145, (race) access, taglib/riff/wav/wavfile.cpp,177, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/riff/wav/wavfile.cpp,145, (race) access, taglib/riff/wav/wavfile.cpp,178, NA, Altered, Constant, No, NA, FFP2, Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/tagunion.h,76, (race) access, taglib/tagunion.h,79, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/toolkit/tfile.cpp,464, (race) access, taglib/toolkit/tfile.cpp,465, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/toolkit/tfile.cpp,479, (race) access, taglib/toolkit/tfile.cpp,480, (race) access, Moved, Changed, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, Flawfinder, taglib/toolkit/tfilestream.cpp,60, (race) access, taglib/toolkit/tfilestream.cpp,55, (race) access, Altered, Constant, Yes, Constant, TFP , Time and State, File Access Race Condition: TOCTOU ,,,,
